Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5742;Agiez;58800;0.56;44200;69400;85100;62000;41;18;14;9
5743;Arnex-sur-Orbe;53900;3.01;41900;65900;83300;60900;130;40;51;39
5744;Ballaigues;49700;3.23;39700;61600;76400;55000;903;28;773;102
5745;Baulmes;51700;3.2;38500;62400;82300;56800;301;25;181;95
5746;Bavois;58900;1.27;44600;68600;86600;63600;169;32;23;114
5747;Bofflens;61700;1.01;46800;71700;91100;69700;38;29;8;N/A - secret statistique
5748;Bretonnières;62700;0.1;48200;68200;84600;66800;36;15;8;13
5749;Chavornay;51400;2.2;39800;63000;78800;57200;1612;113;637;861
5750;Les Clées;54200;1.88;37400;72600;94400;67100;15;4;6;5
5752;Croy;52600;1.4;41800;64800;82200;57000;76;N/A - secret statistique;10;61
5754;Juriens;53400;1.51;41200;64000;84100;59900;35;15;10;11
5755;Lignerolle;50900;1.5;38800;62200;80400;57000;63;23;10;29
5756;Montcherand;59900;1.75;46200;72400;95400;63800;48;12;23;13
5757;Orbe;47200;4.16;36900;59000;74600;52600;4025;28;1296;2701
5758;La Praz;60800;1.05;46400;75500;91400;66800;22;10;5;7
5759;Premier;53400;0.52;41000;62400;72300;56500;29;18;8;N/A - secret statistique
5760;Rances;60700;0.98;47500;73100;90100;67600;80;21;21;37
5761;Romainmôtier-Envy;48400;4.88;35600;62100;80700;54200;143;9;72;62
5762;Sergey;59900;0.59;43700;68700;87000;64000;14;5;N/A - secret statistique;5
5763;Valeyres-sous-Rances;57800;0.83;47800;73800;94200;66100;143;36;67;39
5764;Vallorbe;44000;7.58;34100;55200;70800;49200;1145;24;501;620
5765;Vaulion;47400;3.6;36700;56100;79600;52300;129;49;41;39
5766;Vuiteboeuf;51000;2.34;40800;63400;83700;55800;183;18;36;129
5785;Corcelles-le-Jorat;58300;1.25;44900;71500;94500;63300;60;25;9;26
5790;Maracon;61500;1.4;49100;78600;98700;68800;72;14;32;27
5792;Montpreveyres;66000;1.61;47900;77600;102600;71800;84;N/A - secret statistique;17;63
5798;Ropraz;54000;1.98;41800;71500;86500;63700;169;18;22;129
5799;Servion;64400;2.41;50000;81300;104700;73700;546;9;104;433
5803;Vulliens;60000;1.39;45600;75800;97400;67500;72;29;17;25
5804;Jorat-Menthue;59200;1.08;46700;73200;94300;65200;254;44;83;127
5805;Oron;51400;3.84;38800;64500;84500;57900;1861;130;546;1185
5806;Jorat-Mézières;58400;1.37;43500;73200;93800;65700;694;104;87;503
5812;Champtauroz;54000;1.91;40300;63700;77900;58300;14;10;0;N/A - secret statistique
5813;Chevroux;54800;2.36;42100;70700;89200;60400;78;11;17;51
5816;Corcelles-près-Payerne;46400;4.79;35900;56700;73600;51100;698;64;335;298
5817;Grandcour;50500;3.37;41700;61800;82300;56200;175;45;69;61
5819;Henniez;44700;5.56;35500;53200;68900;48900;255;5;204;46
5821;Missy;49500;2.32;36400;65100;81800;55500;48;24;7;17
5822;Payerne;41700;6.06;32800;51900;69000;46400;5636;61;923;4652
5827;Trey;55600;0.74;44800;73200;92100;63400;53;41;6;6
